Date,Airline,Flight_Number,Origin,Destination,Class,Flight Distance,Scheduled_Departure,Actual_Departure,Scheduled_Arrival,Actual_Arrival,Departure Delay in Minutes,Arrival Delay in Minutes
2025-06-26,IndiGo,6E-3231,BOM,LHR,Eco,816,08:00,08:05,09:31,09:28,5,0
2025-03-19,IndiGo,6E-3242,GOA,MAA,Eco,5036,15:30,15:30,22:17,22:09,0,0
2026-01-12,IndiGo,6E-3793,DEL,BOM,Eco,6414,22:30,22:23,07:01,06:54,0,0
2026-02-08,IndiGo,6E-1923,PNQ,MAA,Eco,4610,21:05,21:07,03:20,03:32,2,12
2025-07-09,IndiGo,6E-9818,BLR,CCU,Eco,5518,20:05,20:49,03:28,04:22,44,54
2025-10-22,IndiGo,6E-1612,DXB,MAA,Eco,1314,03:00,02:52,05:08,04:46,0,0
2025-11-10,IndiGo,6E-3877,JFK,DEL,Eco,3829,02:15,02:14,07:32,07:31,0,0
2026-02-05,IndiGo,6E-4178,PNQ,LHR,Eco,6064,09:00,08:57,17:04,16:54,0,0
2025-08-07,IndiGo,6E-8705,LHR,BLR,Eco,8828,03:50,03:47,15:22,15:27,0,5
2025-08-28,IndiGo,6E-3072,DEL,GOA,Eco,6094,10:15,10:20,18:22,18:26,5,4
2026-01-22,IndiGo,6E-5204,JFK,DXB,Eco,3312,16:00,16:17,20:38,20:44,17,6
2025-11-04,IndiGo,6E-6677,GOA,BOM,Business,6645,14:50,14:40,23:38,23:13,0,0
2025-05-14,IndiGo,6E-9112,HYD,PNQ,Eco,8070,10:05,09:59,20:40,20:32,0,0
2025-11-13,IndiGo,6E-6120,DEL,BOM,Eco,7113,09:10,09:47,18:33,19:20,37,47
2025-08-17,IndiGo,6E-1491,GOA,JFK,Eco Plus,7486,05:10,05:01,15:01,14:49,0,0
2025-04-30,IndiGo,6E-1735,PNQ,SIN,Eco,2330,20:50,20:53,00:14,00:26,3,12
2025-10-12,IndiGo,6E-7323,DXB,SIN,Eco,1818,23:00,22:58,01:46,01:48,0,2
2025-06-13,IndiGo,6E-9111,CCU,DXB,Eco,2078,10:00,10:39,13:05,13:52,39,47
2025-12-14,IndiGo,6E-8105,BLR,HYD,Eco,4569,01:50,01:48,08:02,07:45,0,0
2025-06-13,IndiGo,6E-3680,HYD,MAA,Eco,5637,14:15,15:00,21:47,22:17,45,30
2025-09-24,IndiGo,6E-4340,HYD,PNQ,Eco,3325,06:10,08:05,10:49,12:34,115,105
2025-04-24,IndiGo,6E-1742,MAA,HYD,Eco,1400,05:00,04:57,07:15,07:22,0,7
2025-12-28,IndiGo,6E-1518,HYD,GOA,Eco,4343,15:50,15:50,21:45,21:35,0,0
2025-09-14,IndiGo,6E-7671,PNQ,HYD,Eco,7129,20:15,20:14,05:39,05:37,0,0
2025-08-06,IndiGo,6E-1603,CCU,MAA,Eco Plus,1088,20:50,20:54,22:41,22:51,4,10
2026-01-31,IndiGo,6E-9045,DEL,PNQ,Business,3421,12:50,12:53,17:36,17:38,3,2
2025-12-26,IndiGo,6E-5078,BLR,BOM,Business,7357,05:15,05:14,14:56,14:51,0,0
2025-04-13,IndiGo,6E-6100,JFK,BLR,Eco,8614,16:15,16:14,03:31,03:35,0,4
2025-12-26,IndiGo,6E-6666,DXB,CCU,Business,4021,23:45,23:47,05:16,05:06,2,0
2025-08-15,IndiGo,6E-2252,LHR,HYD,Eco Plus,702,10:30,10:28,11:52,11:38,0,0
2025-07-21,IndiGo,6E-9479,GOA,BLR,Eco,5791,22:50,23:29,06:34,07:07,39,33
2026-01-01,IndiGo,6E-8942,DEL,HYD,Eco,6177,12:30,12:33,20:43,20:47,3,4
2025-06-28,IndiGo,6E-1992,JFK,MAA,Eco,2111,00:05,00:05,03:13,03:23,0,10
2025-07-08,IndiGo,6E-1966,MAA,HYD,Eco,2618,18:15,18:39,22:01,22:35,24,34
2025-11-08,IndiGo,6E-5239,DEL,BOM,Eco,4626,06:00,05:58,12:16,12:19,0,3
2025-06-02,IndiGo,6E-1710,MAA,PNQ,Eco,5344,06:15,06:06,13:25,13:26,0,1
2025-05-07,IndiGo,6E-5524,BOM,GOA,Eco,5109,17:00,16:50,23:53,23:44,0,0
2025-06-03,IndiGo,6E-8744,HYD,DEL,Eco,6989,20:10,20:04,05:24,05:05,0,0
2025-10-14,IndiGo,6E-8503,JFK,DXB,Eco,7111,22:10,22:01,07:33,07:30,0,0
2026-02-15,IndiGo,6E-5257,CCU,GOA,Eco,3770,09:05,09:03,14:17,14:18,0,1
2025-09-23,IndiGo,6E-9369,LHR,DXB,Eco,2259,04:15,04:11,07:34,07:37,0,3
2025-09-16,IndiGo,6E-3093,DXB,BLR,Eco Plus,6598,08:45,08:57,17:29,17:36,12,7
2025-08-02,IndiGo,6E-1974,BLR,GOA,Eco,5895,10:50,10:50,18:42,18:34,0,0
2025-09-04,IndiGo,6E-5686,LHR,MAA,Eco,503,04:00,03:53,05:07,04:57,0,0
2025-09-26,IndiGo,6E-4482,JFK,DXB,Eco Plus,4963,07:30,07:23,14:12,13:50,0,0
2025-10-12,IndiGo,6E-1619,DEL,LHR,Eco,7587,22:05,00:52,08:04,10:36,167,152
2025-06-23,IndiGo,6E-7969,CCU,BLR,Eco,6013,12:05,12:25,20:05,20:18,20,13
2025-12-02,IndiGo,6E-1093,DXB,GOA,Eco Plus,5224,13:15,13:11,20:16,20:07,0,0
2025-12-16,IndiGo,6E-6404,CCU,DXB,Business,1335,16:15,16:06,18:25,18:20,0,0
2025-06-04,IndiGo,6E-3192,MAA,SIN,Business,6238,14:30,14:57,22:47,23:22,27,35
2025-06-11,IndiGo,6E-2430,LHR,MAA,Eco Plus,3854,02:50,02:45,08:09,08:05,0,0
2025-11-22,IndiGo,6E-7026,MAA,BOM,Eco,5950,04:50,04:43,12:46,12:25,0,0
2025-12-12,IndiGo,6E-8146,GOA,HYD,Eco,3058,19:50,19:42,00:09,00:05,0,0
2025-12-05,IndiGo,6E-7365,JFK,MAA,Eco Plus,8318,18:45,18:47,05:38,05:44,2,6
2025-07-03,IndiGo,6E-3489,HYD,PNQ,Business,1606,19:45,19:42,22:15,22:08,0,0
2025-09-30,IndiGo,6E-1726,GOA,MAA,Eco Plus,8626,13:15,13:53,00:31,01:04,38,33
2025-12-27,IndiGo,6E-2753,DXB,DEL,Eco,699,09:30,09:27,10:52,10:57,0,5
2025-08-06,IndiGo,6E-1818,CCU,GOA,Eco,6979,10:30,10:20,19:43,19:18,0,0
2025-08-17,IndiGo,6E-9220,DEL,BLR,Eco,4774,12:30,12:20,18:58,18:54,0,0
2025-04-12,IndiGo,6E-2471,JFK,MAA,Business,6283,09:50,10:22,18:11,18:35,32,24
2025-03-29,IndiGo,6E-9090,CCU,SIN,Eco,5879,03:50,04:26,11:40,12:17,36,37
2025-10-15,IndiGo,6E-7935,HYD,CCU,Eco,8121,17:45,17:35,04:24,04:21,0,0
2025-06-16,IndiGo,6E-184,DEL,HYD,Eco,1547,09:10,09:10,11:36,11:27,0,0
2025-05-02,IndiGo,6E-9057,JFK,DEL,Eco Plus,4320,05:50,05:46,11:44,11:44,0,0
2025-05-28,IndiGo,6E-9700,BOM,DEL,Eco,7890,20:10,20:03,06:31,06:25,0,0
2025-04-16,IndiGo,6E-698,BLR,DXB,Eco,4096,03:30,03:35,09:07,09:00,5,0
2025-09-10,IndiGo,6E-3837,GOA,BOM,Eco,7741,22:45,22:41,08:55,08:44,0,0
2025-07-10,IndiGo,6E-704,PNQ,BOM,Eco,1740,10:30,10:22,13:10,13:08,0,0
2025-05-26,IndiGo,6E-4289,DXB,LHR,Business,3374,10:50,10:44,15:33,15:15,0,0
2025-06-15,IndiGo,6E-6080,CCU,BLR,Eco,5839,21:15,21:45,05:02,05:28,30,26
2025-08-19,IndiGo,6E-5833,JFK,SIN,Eco,1197,19:45,19:37,21:44,21:29,0,0
2025-05-19,IndiGo,6E-6231,SIN,CCU,Eco,5137,13:45,13:42,20:40,20:32,0,0
2025-08-12,IndiGo,6E-3536,GOA,PNQ,Eco,657,11:05,10:57,12:24,12:25,0,1
2025-11-26,IndiGo,6E-9376,HYD,MAA,Eco,2549,08:00,07:50,11:41,11:28,0,0
2025-10-03,IndiGo,6E-3024,MAA,DXB,Eco,5199,16:50,16:53,23:49,23:51,3,2
2025-09-18,IndiGo,6E-9755,MAA,DEL,Eco,7391,19:45,20:16,05:29,05:59,31,30
2025-09-29,IndiGo,6E-1050,DXB,BOM,Eco,5992,17:30,17:26,01:29,01:14,0,0
2025-10-23,IndiGo,6E-7430,BOM,CCU,Eco,7871,21:45,23:10,08:05,09:27,85,82
2026-01-02,IndiGo,6E-3944,HYD,BLR,Eco Plus,1043,10:00,09:50,11:48,11:34,0,0
2025-02-21,IndiGo,6E-2143,BOM,PNQ,Eco,6681,06:10,06:10,15:01,14:53,0,0
2025-05-13,IndiGo,6E-6163,CCU,PNQ,Eco,1786,21:30,22:12,00:13,00:45,42,32
2025-11-14,IndiGo,6E-3748,GOA,JFK,Eco,8236,02:45,02:45,13:32,13:42,0,10
2026-01-29,IndiGo,6E-4738,GOA,JFK,Eco,1958,04:30,04:26,07:26,07:25,0,0
2025-10-17,IndiGo,6E-3711,DEL,PNQ,Eco,1716,14:05,14:05,16:43,16:48,0,5
2025-05-11,IndiGo,6E-9225,DEL,SIN,Eco,2630,19:10,19:53,22:57,23:41,43,44
2026-01-04,IndiGo,6E-3353,MAA,JFK,Eco,2544,08:50,09:58,12:30,13:28,68,58
2025-07-01,IndiGo,6E-9305,CCU,SIN,Eco,4986,22:10,22:13,04:53,04:59,3,6
2026-01-14,IndiGo,6E-2144,MAA,HYD,Eco,4121,22:00,21:51,03:39,03:33,0,0
2025-04-03,IndiGo,6E-9712,DXB,DEL,Eco,5468,10:00,09:52,17:20,17:13,0,0
2025-09-21,IndiGo,6E-7929,HYD,BLR,Eco,5000,02:30,02:32,09:15,09:27,2,12
2025-03-15,IndiGo,6E-5303,HYD,MAA,Eco,3780,15:45,15:49,20:58,20:55,4,0
2025-08-13,IndiGo,6E-9969,MAA,DEL,Eco,1169,18:45,18:49,20:42,20:35,4,0
2025-12-19,IndiGo,6E-2280,MAA,CCU,Eco,558,06:05,06:09,07:16,07:18,4,2
2025-12-20,IndiGo,6E-8263,MAA,JFK,Business,6936,13:10,13:10,22:20,22:08,0,0
2025-09-28,IndiGo,6E-6995,HYD,DEL,Eco,7117,08:05,07:56,17:28,17:09,0,0
2025-05-26,IndiGo,6E-2386,SIN,MAA,Eco,6157,15:30,15:33,23:41,23:38,3,0
2025-10-23,IndiGo,6E-9320,SIN,PNQ,Eco,1966,07:00,06:51,09:57,09:38,0,0
2025-11-01,IndiGo,6E-3029,LHR,SIN,Eco,4817,16:50,16:50,23:21,23:08,0,0
2025-06-26,IndiGo,6E-8670,GOA,LHR,Eco,6852,03:30,03:33,12:33,12:41,3,8
2025-08-23,IndiGo,6E-565,MAA,BLR,Eco,5302,16:05,16:07,23:12,23:01,2,0
2026-01-27,IndiGo,6E-1724,DXB,LHR,Business,4655,14:45,14:45,21:04,21:03,0,0
2025-05-21,IndiGo,6E-2352,DXB,LHR,Eco,8917,03:45,03:48,15:23,15:24,3,1
2025-11-30,IndiGo,6E-4181,DEL,HYD,Eco,8387,04:00,04:02,14:59,15:07,2,8
2025-12-02,IndiGo,6E-4693,LHR,MAA,Eco,2655,16:50,16:41,20:39,20:38,0,0
2025-06-20,IndiGo,6E-9354,BOM,CCU,Eco,1693,09:10,09:13,11:46,11:46,3,0
2025-11-21,IndiGo,6E-6600,HYD,LHR,Business,4116,08:50,08:55,14:28,14:23,5,0
2025-08-25,IndiGo,6E-8583,BOM,JFK,Eco,7979,00:05,00:03,10:33,10:36,0,3
2025-08-28,IndiGo,6E-6073,BOM,MAA,Business,4236,13:05,13:06,18:52,18:48,1,0
2026-01-28,IndiGo,6E-6447,GOA,LHR,Eco,8599,01:00,01:03,12:14,12:08,3,0
2025-07-01,IndiGo,6E-2068,MAA,DXB,Eco Plus,5751,19:00,18:57,02:41,02:26,0,0
2025-11-26,IndiGo,6E-2703,DXB,LHR,Eco Plus,2143,09:05,09:08,12:15,12:19,3,4
2025-06-20,IndiGo,6E-4037,SIN,DXB,Eco,7225,23:30,23:24,09:01,08:53,0,0
2026-01-02,IndiGo,6E-9155,BLR,DEL,Eco,1286,06:05,08:21,08:11,10:20,136,129
2026-01-26,IndiGo,6E-2094,JFK,BOM,Business,5331,15:50,16:05,22:59,23:01,15,2
2025-04-14,IndiGo,6E-1890,DXB,BLR,Eco,5231,20:10,20:08,03:12,02:56,0,0
2025-10-10,IndiGo,6E-860,PNQ,CCU,Business,7552,11:30,11:30,21:26,21:16,0,0
2025-11-08,IndiGo,6E-9133,JFK,PNQ,Eco,553,00:50,00:45,02:01,01:54,0,0
2025-05-02,IndiGo,6E-6515,SIN,JFK,Eco,1674,00:15,00:35,02:50,03:13,20,23
2026-02-06,IndiGo,6E-7037,LHR,DEL,Eco,8308,03:30,03:33,14:23,14:26,3,3
2025-08-31,IndiGo,6E-4949,LHR,DXB,Eco,5275,05:15,05:12,12:20,12:21,0,1
2025-11-21,IndiGo,6E-6287,DEL,HYD,Business,5439,02:15,02:12,09:32,09:34,0,2
2025-05-06,IndiGo,6E-2776,JFK,SIN,Eco,5077,20:00,20:02,02:50,02:54,2,4
2025-10-20,IndiGo,6E-2822,DEL,BOM,Eco,5573,03:50,03:54,11:17,11:07,4,0
2026-01-25,IndiGo,6E-3340,JFK,BOM,Business,3096,02:00,02:05,06:22,06:14,5,0
2025-05-03,IndiGo,6E-1388,GOA,LHR,Eco,3538,01:05,00:58,06:00,05:40,0,0
2025-08-21,IndiGo,6E-1889,MAA,DEL,Eco,8099,07:00,06:58,17:37,17:29,0,0
2025-04-21,IndiGo,6E-1007,MAA,DEL,Eco,7707,03:00,03:02,13:08,13:04,2,0
2025-06-28,IndiGo,6E-8813,CCU,BLR,Eco,1438,12:05,11:59,14:22,14:10,0,0
2025-12-24,IndiGo,6E-3304,PNQ,HYD,Eco Plus,5783,19:15,19:08,02:58,02:59,0,1
2025-08-01,IndiGo,6E-1291,HYD,JFK,Eco,2282,21:50,22:18,01:11,01:35,28,24
2025-10-09,IndiGo,6E-7078,CCU,SIN,Eco,4848,03:15,03:55,09:48,10:33,40,45
2025-05-15,IndiGo,6E-1320,DEL,MAA,Eco,5867,22:50,23:04,06:40,06:58,14,18
2025-09-14,IndiGo,6E-2018,BLR,HYD,Eco,1690,04:10,04:14,06:46,06:45,4,0
2025-07-27,IndiGo,6E-8375,MAA,DXB,Eco,4014,13:00,12:54,18:31,18:17,0,0
2025-02-20,IndiGo,6E-2779,BOM,JFK,Eco,8732,14:15,14:12,01:39,01:28,0,0
2025-10-27,IndiGo,6E-2140,DEL,HYD,Eco,7200,13:45,13:41,23:15,23:02,0,0
2026-02-12,IndiGo,6E-2321,DEL,SIN,Eco,7295,15:10,15:07,00:47,00:45,0,0
2025-11-19,IndiGo,6E-8115,LHR,MAA,Eco,7578,20:50,20:46,06:48,06:33,0,0
2025-10-06,IndiGo,6E-7464,SIN,DXB,Eco,3925,01:50,01:48,07:14,07:03,0,0
2025-07-31,IndiGo,6E-3777,LHR,BLR,Business,7588,06:00,05:50,15:59,15:37,0,0
2025-03-29,IndiGo,6E-3844,CCU,JFK,Eco,8681,16:45,16:46,04:06,04:16,1,10
2025-11-08,IndiGo,6E-5520,PNQ,GOA,Business,1207,03:15,03:11,05:15,05:04,0,0
2025-11-18,IndiGo,6E-6856,DEL,PNQ,Eco,4767,13:05,12:56,19:32,19:15,0,0
2026-02-09,IndiGo,6E-1678,MAA,GOA,Eco,2398,15:00,15:00,18:29,18:22,0,0
2025-03-29,IndiGo,6E-6819,CCU,MAA,Eco,8322,22:15,22:07,09:09,09:09,0,0
2026-02-12,IndiGo,6E-9580,GOA,BLR,Eco,2519,06:05,06:08,09:43,09:55,3,12
2025-09-15,IndiGo,6E-4846,DXB,SIN,Eco,3646,02:50,02:46,07:53,07:59,0,6
2026-01-12,IndiGo,6E-5657,PNQ,DXB,Eco,8618,19:30,19:35,06:46,06:37,5,0
2025-04-30,IndiGo,6E-6498,MAA,DEL,Eco,2150,09:05,08:59,12:16,12:19,0,3
2025-03-02,IndiGo,6E-726,PNQ,DEL,Eco,6335,20:30,22:20,04:55,06:34,110,99
2025-12-07,IndiGo,6E-797,JFK,CCU,Eco,6430,08:50,08:52,17:22,17:33,2,11
2026-01-26,IndiGo,6E-2565,HYD,JFK,Eco,1715,11:45,11:47,14:23,14:27,2,4
2026-01-19,IndiGo,6E-147,DEL,MAA,Eco,1833,19:45,19:42,22:32,22:38,0,6
2025-11-05,IndiGo,6E-4074,JFK,BOM,Eco,2942,21:00,20:50,01:10,00:56,0,0
2026-01-13,IndiGo,6E-1424,JFK,CCU,Eco,7974,02:30,02:22,12:58,12:52,0,0
2025-11-06,IndiGo,6E-2886,BOM,PNQ,Eco,2951,16:30,16:44,20:41,20:59,14,18
2025-04-14,IndiGo,6E-3058,BOM,DXB,Business,8387,17:10,17:13,04:09,04:07,3,0
2025-10-29,IndiGo,6E-4586,SIN,JFK,Eco,8490,14:15,14:29,01:21,01:22,14,1
2025-03-09,IndiGo,6E-4040,MAA,BOM,Eco,827,03:50,04:19,05:22,06:01,29,39
2025-12-19,IndiGo,6E-4798,CCU,PNQ,Business,1783,20:50,21:06,23:33,23:39,16,6
2025-10-30,IndiGo,6E-3161,DEL,JFK,Business,6756,15:15,15:14,00:11,00:14,0,3
2025-03-05,IndiGo,6E-9001,MAA,DXB,Eco,4893,11:50,11:46,18:26,18:19,0,0
2026-01-03,IndiGo,6E-6100,BOM,LHR,Eco,4871,20:30,20:31,03:05,02:55,1,0
2025-12-08,IndiGo,6E-7508,MAA,CCU,Eco,7039,00:30,00:21,09:47,09:34,0,0
2025-04-19,IndiGo,6E-3811,SIN,MAA,Business,4565,14:30,14:24,20:42,20:30,0,0
2025-04-04,IndiGo,6E-5072,DXB,DEL,Eco Plus,7654,03:30,03:27,13:34,13:26,0,0
2025-06-03,IndiGo,6E-5467,GOA,HYD,Eco,7315,10:30,10:32,20:08,19:58,2,0
2025-10-27,IndiGo,6E-4842,HYD,DXB,Eco,7725,19:15,19:14,05:24,05:25,0,1
2025-06-23,IndiGo,6E-9387,CCU,DXB,Business,7395,08:15,08:15,17:59,17:52,0,0
2026-01-02,IndiGo,6E-3350,DXB,MAA,Eco,7290,16:15,16:09,01:51,01:30,0,0
2025-08-13,IndiGo,6E-9645,BLR,MAA,Eco,4353,08:45,09:10,14:41,15:13,25,32
2025-08-21,IndiGo,6E-7488,BLR,MAA,Eco,7730,06:45,06:36,16:54,16:45,0,0
2025-02-25,IndiGo,6E-5821,BLR,LHR,Eco,7771,05:10,05:08,15:22,15:08,0,0
2025-08-02,IndiGo,6E-2685,DEL,LHR,Business,2371,14:10,16:22,17:37,19:59,132,142
2025-10-21,IndiGo,6E-9377,SIN,BLR,Eco,6137,07:05,07:03,15:15,15:16,0,1
2025-04-16,IndiGo,6E-6771,BOM,CCU,Eco,5243,11:45,12:25,18:48,19:14,40,26
2025-11-30,IndiGo,6E-1704,BOM,CCU,Eco,2316,19:45,21:03,23:08,00:25,78,77
2025-10-30,IndiGo,6E-1428,BOM,PNQ,Eco,4454,19:10,19:27,01:14,01:32,17,18
2025-12-10,IndiGo,6E-4431,HYD,SIN,Business,1629,04:50,05:32,07:22,07:57,42,35
2025-09-24,IndiGo,6E-6411,BLR,BOM,Eco,7382,06:50,06:43,16:33,16:18,0,0
2026-02-11,IndiGo,6E-9018,DXB,JFK,Business,4434,14:10,14:14,20:12,20:02,4,0
2025-04-01,IndiGo,6E-7485,DXB,LHR,Eco,8068,19:15,19:16,05:50,05:40,1,0
2025-04-10,IndiGo,6E-8032,BOM,SIN,Eco,8735,01:10,01:05,12:35,12:19,0,0
2025-05-12,IndiGo,6E-7321,GOA,CCU,Eco,7929,02:10,02:02,12:34,12:22,0,0
2025-04-01,IndiGo,6E-7207,HYD,MAA,Eco,6700,13:05,13:02,21:57,21:55,0,0
2026-01-22,IndiGo,6E-121,DEL,GOA,Eco Plus,3620,09:10,09:06,14:11,14:08,0,0
2025-04-05,IndiGo,6E-3915,PNQ,DXB,Eco,8848,18:15,18:16,05:48,05:36,1,0
2025-12-04,IndiGo,6E-7445,LHR,BOM,Eco,8775,04:50,05:14,16:18,16:34,24,16
2025-09-24,IndiGo,6E-4546,PNQ,MAA,Eco,3991,23:45,23:48,05:14,05:10,3,0
